"ADOB_ID";"ADOB_LIIK";"ADS_OID";"TUNNUS";"ETAK_ID";"HOONE_OID";"AADRESS";"VIITEPUNKT_X";"VIITEPUNKT_Y";"OLEK";"KEHTIV_ALATES";"KEHTIV_KUNI"
9909243;"AY";"AY00009202";"9202";;;"Harju maakond, Rae vald, Veneküla";552127,35;6587637,02;"K";21.10.2019;
9909244;"AY";"AY00009832";"9832";;;"Harju maakond, Rae vald, Ülejõe küla";552850,52;6586572,72;"K";21.10.2019;
9909242;"AY";"AY00005400";"5400";;;"Harju maakond, Jõelähtme vald, Nehatu küla";552348,11;6589743,35;"K";21.10.2019;
9863049;"AY";"AY00007034";"7034";;;"Lääne-Viru maakond, Vinni vald, Rohu küla";641675,49;6553837,64;"K";22.8.2019;
9869935;"AY";"AY00001826";"1826";;;"Rapla maakond, Kehtna vald, Hertu küla";550471,34;6536702,43;"K";2.9.2019;
9869937;"AY";"AY00002498";"2498";;;"Rapla maakond, Kehtna vald, Kaerepere küla";549211,21;6536001,63;"K";2.9.2019;
9863048;"AY";"AY00006729";"6729";;;"Lääne-Viru maakond, Vinni vald, Rahkla küla";644364,88;6555519,66;"K";22.8.2019;
9909622;"AY";"AY00004284";"4284";;;"Pärnu maakond, Häädemeeste vald, Lepaküla";534015,07;6456392,79;"K";21.10.2019;
9849726;"AY";"AY00007962";"7962";;;"Tartu maakond, Luunja vald, Sääsküla";672721,57;6478476,46;"K";29.7.2019;
9877591;"AY";"AY00007738";"7738";;;"Valga maakond, Valga vald, Sooru küla";624494,5;6415333,97;"K";10.9.2019;
9909079;"AY";"AY00005085";"5085";;;"Pärnu maakond, Saarde vald, Mustla küla";564327,93;6444464,46;"K";21.10.2019;
9909081;"AY";"AY03620182";"8485";;;"Pärnu maakond, Saarde vald, Tõlla küla";565211,99;6448465,86;"K";21.10.2019;
9863025;"AY";"AY00006850";"6850";;;"Lääne-Viru maakond, Rakvere vald, Raudlepa küla";642567,77;6582647,7;"K";22.8.2019;
9870038;"AY";"AY03141972";"1094";;;"Rapla maakond, Kohila vald, Aespa alevik";537771,12;6563756,26;"K";2.9.2019;
9870231;"AY";"AY00003569";"3569";;;"Rapla maakond, Rapla vald, Kuku küla";545976,19;6548456,1;"K";2.9.2019;
9908409;"AY";"AY03779934";"5260";;;"Harju maakond, Saku vald, Männiku küla";540497,53;6577072,02;"K";18.10.2019;
9812903;"AY";"AY00006739";"6739";;;"Harju maakond, Saku vald, Rahula küla";532099,81;6572302,95;"K";17.7.2019;
9812906;"AY";"AY03779935";"7467";;;"Harju maakond, Saku vald, Saustinõmme küla";541896,84;6573983,54;"K";17.7.2019;
9812909;"AY";"AY00007704";"7704";;;"Harju maakond, Saku vald, Sookaera-Metsanurga küla";543628,99;6570451,67;"K";17.7.2019;
9812677;"AY";"AY00005053";"5053";;;"Pärnu maakond, Tori vald, Murru küla";543934,68;6490268,24;"K";17.7.2019;
9812881;"AY";"AY00001388";"1388";;;"Harju maakond, Kiili vald, Arusta küla";546498,3;6568442,83;"K";17.7.2019;
9812883;"AY";"AY00002307";"2307";;;"Harju maakond, Saku vald, Jälgimäe küla";534799,56;6575975,14;"K";17.7.2019;
9812887;"AY";"AY00002794";"2794";;;"Harju maakond, Saku vald, Kasemetsa küla";537899,17;6571621,83;"K";17.7.2019;
9812890;"AY";"AY00003119";"3119";;;"Harju maakond, Saku vald, Kirdalu küla";541862,84;6567938,58;"K";17.7.2019;
9812893;"AY";"AY00004481";"4481";;;"Harju maakond, Saku vald, Lokuti küla";542442,26;6571983,32;"K";17.7.2019;
9812900;"AY";"AY01640121";"5329";;;"Harju maakond, Kiili vald, Nabala küla";549331,61;6570838,7;"K";17.7.2019;
9812908;"AY";"AY00007701";"7701";;;"Harju maakond, Kiili vald, Sookaera küla";545049,52;6571405,06;"K";17.7.2019;
9812910;"AY";"AY01640113";"7880";;;"Harju maakond, Kiili vald, Sõgula küla";550940,9;6570328,26;"K";17.7.2019;
9812882;"AY";"AY00002220";"2220";;;"Harju maakond, Saku vald, Juuliku küla";536496,28;6575076,36;"K";17.7.2019;
9812888;"AY";"AY01640110";"3039";;;"Harju maakond, Kiili vald, Kiili alev";547717,86;6574527,15;"K";17.7.2019;
9812889;"AY";"AY00003048";"3048";;;"Harju maakond, Saku vald, Kiisa alevik";538839,66;6566870,97;"K";17.7.2019;
9812913;"AY";"AY00008098";"8098";;;"Harju maakond, Saku vald, Tammemäe küla";538774,28;6575715,86;"K";17.7.2019;
9812914;"AY";"AY00008472";"8472";;;"Harju maakond, Saku vald, Tõdva küla";540912,8;6569685,78;"K";17.7.2019;
9812916;"AY";"AY01640108";"8824";;;"Harju maakond, Kiili vald, Vaela küla";546187,71;6577484,05;"K";17.7.2019;
9812917;"AY";"AY00009820";"9820";;;"Harju maakond, Saku vald, Üksnurme küla";535755,72;6571833,6;"K";17.7.2019;
9812676;"AY";"AY00004891";"4891";;;"Pärnu maakond, Põhja-Pärnumaa vald, Metsaküla";542996,63;6495664,09;"K";17.7.2019;
9812885;"AY";"AY00002652";"2652";;;"Harju maakond, Saku vald, Saue küla";533498,26;6573737,2;"K";17.7.2019;
9890333;"AY";"AY00007130";"7130";;;"Jõgeva maakond, Mustvee vald, Ruskavere küla";666559,48;6516748,0;"K";25.9.2019;
